Random_ID;WORRIED;HEALTHY;FEWFOOD;SKIPPED;ATELESS;RUNOUT;HUNGRY;WHLDAY;wt;year;N_adults;N_child;Raw_score;Raw_score_par;Raw_score_par_error;Prob_Mod_Sev;Prob_sev;Age;Education;Area;Gender;Income;
123837707,00;0;0;0;0;0;0;0;0;2,00;2014;04;01;0,00;-2,13;0,89;0,00;0,00;21,00;2;8;2;2;
164129034,00;0;0;0;0;0;0;0;0;0,99;2014;02;00;0,00;-2,13;0,89;0,00;0,00;25,00;2;6;2;3;
174565496,00;0;0;0;0;0;0;0;0;0,97;2014;03;01;0,00;-2,13;0,89;0,00;0,00;51,00;1;6;2;1;
159771895,00;0;0;0;0;0;0;0;0;1,98;2014;05;02;0,00;-2,13;0,89;0,00;0,00;32,00;2;6;2;4;
168902704,00;0;0;0;0;0;0;0;0;0,65;2014;02;02;0,00;-2,13;0,89;0,00;0,00;44,00;1;6;2;1;
117619188,00;0;0;0;0;0;0;0;0;0,99;2014;02;03;0,00;-2,13;0,89;0,00;0,00;27,00;2;6;2;2;
154264176,00;0;0;0;0;0;0;0;0;0,49;2014;01;02;0,00;-2,13;0,89;0,00;0,00;34,00;2;6;2;3;
203634777,00;0;0;0;0;0;0;0;0;0,79;2014;02;06;0,00;-2,13;0,89;0,00;0,00;27,00;2;6;2;1;
184081126,00;0;0;0;0;0;0;0;0;1,30;2014;02;02;0,00;-2,13;0,89;0,00;0,00;34,00;2;6;1;5;
198736330,00;0;0;0;0;0;0;0;0;0,61;2014;02;00;0,00;-2,13;0,89;0,00;0,00;57,00;2;6;1;5;
188320711,00;0;0;0;0;0;0;0;0;1,12;2014;02;01;0,00;-2,13;0,89;0,00;0,00;27,00;2;6;2;1;
125613910,00;0;0;0;0;0;0;0;0;0,52;2014;02;00;0,00;-2,13;0,89;0,00;0,00;72,00;1;6;2;3;
173060929,00;1;0;1;0;0;0;0;0;0,52;2014;02;00;2,00;-1,01;0,56;0,10;0,00;81,00;1;6;2;3;
